City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,73,75,17.27,broken clouds
141,Kyra,RU,49.5776,111.9753,54.01,94,6,2.84,clear sky
142,Lodja,CD,-3.4833,23.4333,70.77,38,53,1.48,broken clouds
143,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.03,76,1,12.06,clear sky
144,Mitsamiouli,KM,-11.3847,43.2844,75.78,71,13,5.82,few clouds
145,Hofn,IS,64.2539,-15.2082,54.14,83,93,4.47,overcast clouds
146,Pedernales,DO,18.0384,-71.744,85.21,67,72,3.0,broken clouds
147,Zyryanovsk,KZ,49.7386,84.2719,56.3,80,94,2.55,overcast clouds
148,Warkworth,NZ,-36.4,174.6667,59.41,73,30,10.85,scattered clouds
149,Luanda,AO,-8.8368,13.2343,71.6,88,40,6.91,scattered clouds
150,Pudozh,RU,61.8099,36.5345,54.34,64,5,4.27,clear sky
151,Yar-Sale,RU,66.8333,70.8333,46.83,69,99,9.66,overcast clouds
152,Ponta Do Sol,PT,32.6667,-17.1,74.01,70,8,6.2,clear sky
153,Segezha,RU,63.7415,34.3222,56.21,70,11,4.43,few clouds
154,Tuatapere,NZ,-46.1333,167.6833,49.82,87,8,2.82,clear sky
155,Gizo,SB,-8.103,156.8419,82.33,76,84,8.57,light rain
156,Megion,RU,61.0296,76.1136,55.42,94,71,7.02,broken clouds
157,Lata,PT,40.1629,-8.3327,65.05,96,2,3.51,clear sky
158,Lagos,NG,6.5833,3.75,77.32,81,100,5.75,overcast clouds
159,Carnarvon,AU,-24.8667,113.6333,66.85,53,100,8.28,overcast clouds
160,Eyl,SO,7.9803,49.8164,80.73,50,100,27.38,overcast clouds
161,Balboa,CO,2.0396,-77.2168,71.62,64,81,2.19,light rain
162,Gat,IL,31.61,34.7642,81.28,74,0,1.79,clear sky
163,Wellington,NZ,-41.2866,174.7756,49.77,87,0,10.36,clear sky
164,Zambezi,ZM,-13.5432,23.1047,52.5,42,68,5.99,broken clouds
165,Isangel,VU,-19.55,169.2667,72.73,63,22,14.85,few clouds
166,Burnie,AU,-41.0667,145.9167,56.91,90,100,28.41,light rain
167,Pochutla,MX,15.7432,-96.4661,84.81,66,99,3.74,overcast clouds
168,Goderich,CA,43.7501,-81.7165,77.04,75,25,3.67,scattered clouds
169,Thompson,CA,55.7435,-97.8558,83.52,27,100,15.17,overcast clouds
170,Eilenburg,DE,51.4598,12.6334,71.26,71,100,3.96,overcast clouds
171,Tehuacan,MX,18.45,-97.3833,79.52,37,83,10.69,broken clouds
172,Severo-Kurilsk,RU,50.6789,156.125,57.52,96,100,4.88,overcast clouds
173,Marsh Harbour,BS,26.5412,-77.0636,85.55,67,58,5.86,broken clouds
174,Provideniya,RU,64.3833,-173.3,48.31,93,90,6.71,moderate rain
175,Conde,BR,-7.2597,-34.9075,73.27,87,4,8.48,clear sky
176,Champerico,GT,14.3,-91.9167,87.35,72,40,7.2,scattered clouds
177,Alofi,NU,-19.0595,-169.9187,76.89,83,75,5.75,broken clouds
178,Maarianhamina,AX,60.0973,19.9348,67.86,73,0,5.75,clear sky
179,Geraldton,AU,-28.7667,114.6,61.12,87,40,1.14,scattered clouds
180,Labuhan,ID,-6.8844,112.2051,72.72,89,22,6.62,few clouds
181,West Wendover,US,40.7391,-114.0733,93.09,23,21,7.81,few clouds
182,Cobija,BO,-11.0267,-68.7692,80.38,63,86,0.58,overcast clouds
183,Plettenberg Bay,ZA,-34.0527,23.3716,56.98,82,4,13.71,clear sky
184,Laguna,US,38.421,-121.4238,103.05,20,1,3.0,clear sky
185,Pangnirtung,CA,66.1451,-65.7125,49.48,77,100,3.06,overcast clouds
186,Waingapu,ID,-9.6567,120.2641,74.93,82,29,8.37,scattered clouds
187,Xining,CN,36.6167,101.7667,50.86,73,52,2.17,broken clouds
188,Yagodnoye,RU,62.55,149.6667,47.79,61,100,8.28,overcast clouds
189,Hasaki,JP,35.7333,140.8333,77.4,83,70,16.33,broken clouds
190,Dingle,PH,10.9995,122.6711,78.82,84,100,10.16,overcast clouds
191,Wenling,CN,28.3669,121.36,80.91,91,100,10.0,light rain
192,Yeppoon,AU,-23.1333,150.7333,51.58,74,93,0.47,overcast clouds
193,Mount Isa,AU,-20.7333,139.5,47.97,71,89,0.0,overcast clouds
194,Hervey Bay,AU,-25.2986,152.8535,66.04,66,96,9.26,overcast clouds
195,Zhigansk,RU,66.7697,123.3711,52.83,66,17,15.9,few clouds
196,Verkhoyansk,RU,67.5447,133.385,52.48,55,2,11.61,clear sky
197,Derzhavinsk,KZ,51.1,66.3167,59.74,47,5,7.16,clear sky
198,Kizlyar,RU,43.8469,46.715,74.59,49,93,8.9,overcast clouds
199,Hurricane,US,37.1753,-113.2899,94.44,34,69,5.26,broken clouds
200,Raga,SS,8.4596,25.678,69.46,97,93,3.53,overcast clouds
201,Kendari,ID,-3.945,122.4989,72.82,95,46,2.82,scattered clouds
202,Cherskiy,RU,68.75,161.3,37.67,80,100,18.16,overcast clouds
203,Namibe,AO,-15.1961,12.1522,65.97,82,69,2.28,broken clouds
204,Bluff,NZ,-46.6,168.3333,49.8,70,17,15.57,few clouds
205,Fortuna,US,40.5982,-124.1573,88.2,100,75,0.0,broken clouds
206,Malindi,KE,-3.2175,40.1191,75.51,83,11,20.42,few clouds
207,Roma,US,43.2128,-75.4557,72.12,89,90,3.44,overcast clouds
208,Buala,SB,-8.145,159.5921,81.46,80,94,10.42,light rain
