City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
205,Fortuna,US,88.2,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
206,Malindi,KE,75.51,few clouds,-3.2175,40.1191,African House Resort
208,Buala,SB,81.46,light rain,-8.145,159.5921,Maringe Lagoon Lodge
214,Samarai,PG,78.76,light rain,-10.6167,150.6667,Nuli Sapi
219,Wanning,CN,81.05,overcast clouds,18.8003,110.3967,Paradise Hotel
223,Camopi,GF,76.96,overcast clouds,3.1655,-52.3158,
231,Elmira,US,76.89,broken clouds,42.0898,-76.8077,"Holiday Inn Elmira - Horseheads, an IHG Hotel"
235,Kashi,CN,85.64,overcast clouds,39.4547,75.9797,帕米尔青年旅舍
237,Bud,US,89.69,clear sky,39.447,-86.1758,Ted McQuinn Trust
238,Itoman,JP,80.62,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
241,Jakarta,ID,76.51,broken clouds,-6.2146,106.8451,HARRIS Hotel Tebet
242,Bin Qirdan,TN,80.71,clear sky,33.1378,11.2197,Hôtel Palace
244,Manacapuru,BR,88.38,clear sky,-3.2997,-60.6206,Novo Hotel
246,Aguililla,MX,79.7,broken clouds,18.7333,-102.7333,
249,Papetoai,PF,81.99,broken clouds,-17.4961,-149.8729,Fare Vaihere
251,Fernandina Beach,US,87.1,clear sky,30.6697,-81.4626,Hampton Inn Amelia Island at Fernandina Beach
257,High Rock,BS,85.55,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
262,Lorengau,PG,83.75,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
266,Najran,SA,84.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
267,Ayorou,NE,86.65,overcast clouds,14.7308,0.9174,Hotel Amenokal
268,Nalut,LY,85.46,clear sky,30.3333,10.85,
270,Touros,BR,77.38,clear sky,-5.1989,-35.4608,INN NEW HORIZON
271,Hambantota,LK,79.14,overcast clouds,6.1241,81.1185,Bungalow 63
272,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
276,Cabedelo,BR,76.23,clear sky,-6.9811,-34.8339,Hotel Pigalle
278,Bonthe,SL,77.27,light rain,7.5264,-12.505,Bonthe Holiday Village
279,Arraial Do Cabo,BR,80.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
281,Kaffrine,SN,82.74,overcast clouds,14.1059,-15.5508,Beuleup counda motel
282,Tazmalt,DZ,83.48,clear sky,36.3868,4.3989,Hôtel Numédia
284,Hobyo,SO,78.13,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
286,Port-Gentil,GA,76.05,broken clouds,-0.7193,8.7815,Fengshui Residence
288,Dayong,CN,79.93,light rain,25.0209,118.2898,Haiyue Express Hotel
289,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
290,Pinheiro,BR,77.38,broken clouds,-2.5214,-45.0825,Solares Hotel
299,Kudahuvadhoo,MV,80.35,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
304,Romitan,UZ,82.35,clear sky,39.9343,64.3814,Hotel Temur
307,Trairi,BR,77.65,few clouds,-3.2778,-39.2689,janelas do mar
311,Aitape,PG,79.52,broken clouds,-3.1374,142.3475,
314,Mandera,KE,78.39,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
317,Ibra,OM,89.53,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
321,Santa Isabel Do Rio Negro,BR,78.21,moderate rain,-0.4139,-65.0192,Hotel GSA
326,Panaba,MX,88.41,overcast clouds,21.2833,-88.2667,Posada rosario
330,High Prairie,CA,75.31,few clouds,55.4334,-116.4858,Royal Star Motor Inn
334,Mardin,TR,80.02,clear sky,37.3131,40.7436,Reyhani Kasri Hotel
337,Naze,JP,77.92,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
339,Joura,IN,77.2,overcast clouds,26.3411,77.8115,agarwal dhram sala logde
340,Maunabo,PR,85.64,broken clouds,18.0072,-65.8993,Maunacaribe
342,Qianan,CN,75.61,overcast clouds,44.9932,124.0581,Qian'an Hotel
346,Singaraja,ID,75.04,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
351,Karpathos,GR,77.13,clear sky,35.507,27.2132,Alex
353,Kavieng,PG,84.22,few clouds,-2.5744,150.7967,Nusa Island Retreat
358,Havelock,US,85.95,broken clouds,34.8791,-76.9013,Sherwood Motel
359,Powell River,CA,87.04,scattered clouds,49.8496,-124.5361,Rodmay Hotel
361,San Felipe,VE,76.82,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
363,Kirakira,SB,82.26,scattered clouds,-10.4544,161.9205,SanBiz Lodge
365,Shangzhi,CN,75.88,few clouds,45.2167,127.9667,Ocean Zhixing Business Clubhouse
368,Villa Rica,US,88.72,broken clouds,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
369,Celestun,MX,83.8,broken clouds,20.8667,-90.4,Posada Lilia
370,Sioux Lookout,CA,82.11,clear sky,50.1001,-91.917,Knobby's Fly-In Camps
371,Carutapera,BR,77.43,few clouds,-1.195,-46.02,Lidera
373,Orbetello,IT,76.24,scattered clouds,42.4408,11.2196,Argentario Golf Resort & Spa
376,Mawlaik,MM,75.31,overcast clouds,23.6333,94.4167,AKZ Guest House
